,iteration,vote_uncertain_sampling,sampling_entropy,vote_disagreement,random_choice,SVC_poly,RandomForestClassifier,SVC_rbf,GaussianPC,GaussianNB,MLPClassifier
38,38,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.4107142857142857,0.42857142857142855,0.35714285714285715,0.35714285714285715,0.4107142857142857,0.4107142857142857
39,39,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.35714285714285715,0.35714285714285715,0.39285714285714285,0.4107142857142857
40,40,0.4107142857142857,0.4107142857142857,0.4107142857142857,0.4107142857142857,0.42857142857142855,0.39285714285714285,0.375,0.375,0.39285714285714285,0.42857142857142855
41,41,0.44642857142857145,0.44642857142857145,0.44642857142857145,0.44642857142857145,0.42857142857142855,0.44642857142857145,0.375,0.375,0.4107142857142857,0.4642857142857143
42,42,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.4642857142857143,0.4642857142857143,0.4107142857142857,0.375,0.42857142857142855,0.5
43,43,0.4107142857142857,0.4107142857142857,0.4107142857142857,0.4107142857142857,0.4642857142857143,0.5178571428571429,0.39285714285714285,0.375,0.4107142857142857,0.42857142857142855
44,44,0.44642857142857145,0.44642857142857145,0.44642857142857145,0.44642857142857145,0.42857142857142855,0.5,0.375,0.35714285714285715,0.42857142857142855,0.44642857142857145
45,45,0.44642857142857145,0.44642857142857145,0.44642857142857145,0.44642857142857145,0.44642857142857145,0.48214285714285715,0.39285714285714285,0.35714285714285715,0.42857142857142855,0.5
46,46,0.44642857142857145,0.44642857142857145,0.44642857142857145,0.44642857142857145,0.44642857142857145,0.44642857142857145,0.39285714285714285,0.35714285714285715,0.42857142857142855,0.5
47,47,0.44642857142857145,0.44642857142857145,0.44642857142857145,0.44642857142857145,0.44642857142857145,0.44642857142857145,0.375,0.375,0.44642857142857145,0.4642857142857143
48,48,0.4642857142857143,0.4642857142857143,0.4642857142857143,0.4642857142857143,0.4642857142857143,0.4642857142857143,0.375,0.375,0.4642857142857143,0.48214285714285715
49,49,0.4642857142857143,0.4642857142857143,0.4642857142857143,0.4642857142857143,0.4642857142857143,0.42857142857142855,0.375,0.375,0.4642857142857143,0.5
50,50,0.5,0.5,0.5,0.5,0.48214285714285715,0.4642857142857143,0.39285714285714285,0.375,0.5,0.5
51,51,0.48214285714285715,0.48214285714285715,0.48214285714285715,0.48214285714285715,0.48214285714285715,0.42857142857142855,0.39285714285714285,0.375,0.5,0.5178571428571429
52,52,0.5,0.5,0.5,0.5,0.5,0.42857142857142855,0.39285714285714285,0.375,0.5178571428571429,0.5357142857142857
53,53,0.5,0.5,0.5,0.5,0.5,0.42857142857142855,0.4107142857142857,0.35714285714285715,0.5357142857142857,0.5178571428571429
54,54,0.5,0.5,0.5,0.5,0.5,0.42857142857142855,0.4107142857142857,0.35714285714285715,0.5178571428571429,0.5714285714285714
55,55,0.5,0.5,0.5,0.5,0.5,0.44642857142857145,0.4107142857142857,0.35714285714285715,0.5178571428571429,0.5714285714285714
56,56,0.5,0.5,0.5,0.5,0.5178571428571429,0.4642857142857143,0.42857142857142855,0.35714285714285715,0.5357142857142857,0.5178571428571429
57,57,0.5357142857142857,0.5357142857142857,0.5357142857142857,0.5357142857142857,0.5178571428571429,0.42857142857142855,0.4107142857142857,0.35714285714285715,0.5535714285714286,0.48214285714285715
58,58,0.5357142857142857,0.5357142857142857,0.5357142857142857,0.5357142857142857,0.5178571428571429,0.44642857142857145,0.4107142857142857,0.35714285714285715,0.5535714285714286,0.4642857142857143
59,59,0.5,0.5,0.5,0.5,0.5,0.48214285714285715,0.42857142857142855,0.35714285714285715,0.5357142857142857,0.44642857142857145
60,60,0.5178571428571429,0.5178571428571429,0.5178571428571429,0.5178571428571429,0.5,0.48214285714285715,0.44642857142857145,0.35714285714285715,0.5357142857142857,0.4642857142857143
61,61,0.5178571428571429,0.5178571428571429,0.5178571428571429,0.5178571428571429,0.48214285714285715,0.44642857142857145,0.42857142857142855,0.375,0.5535714285714286,0.5
62,62,0.5178571428571429,0.5178571428571429,0.5178571428571429,0.5178571428571429,0.48214285714285715,0.4107142857142857,0.42857142857142855,0.375,0.5535714285714286,0.4642857142857143
63,63,0.5178571428571429,0.5178571428571429,0.5178571428571429,0.5178571428571429,0.4642857142857143,0.4107142857142857,0.4107142857142857,0.375,0.5357142857142857,0.44642857142857145
64,64,0.5178571428571429,0.5178571428571429,0.5178571428571429,0.5178571428571429,0.4642857142857143,0.4642857142857143,0.4107142857142857,0.35714285714285715,0.5357142857142857,0.48214285714285715
65,65,0.5,0.5,0.5,0.5,0.48214285714285715,0.5,0.42857142857142855,0.375,0.5178571428571429,0.4642857142857143
66,66,0.5,0.5,0.5,0.5,0.48214285714285715,0.48214285714285715,0.42857142857142855,0.375,0.5178571428571429,0.4642857142857143
67,67,0.5,0.5,0.5,0.5,0.4642857142857143,0.4642857142857143,0.44642857142857145,0.35714285714285715,0.5,0.42857142857142855
68,68,0.5,0.5,0.5,0.5,0.4642857142857143,0.44642857142857145,0.44642857142857145,0.35714285714285715,0.5,0.42857142857142855
69,69,0.5,0.5,0.5,0.5,0.4642857142857143,0.48214285714285715,0.44642857142857145,0.35714285714285715,0.5,0.4642857142857143
